Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score,composite_score
BMY,51.32,N/A,13.3,N/A,3.53,N/A,2.31,N/A,7.627030347639485,N/A,3.832519956109929,N/A,N/A,0.01051547315150701
BWA,34.61,N/A,14.73,N/A,1.36,N/A,0.5601,N/A,5.4713989452789695,N/A,3.971451570872274,N/A,N/A,0.010504276949258814
SBUX,86.85,N/A,23.22,N/A,-11.41,N/A,2.68,N/A,14.80269095118865,N/A,2.9973361136097254,N/A,N/A,0.010488602266111334
CVX,161.6,N/A,14.21,N/A,1.86,N/A,1.52,N/A,6.423770616932999,N/A,4.0241864232535995,N/A,N/A,0.010378879484079
DE,412.54,N/A,11.98,N/A,5.2,N/A,1.89,N/A,8.408211506070838,N/A,4.9641116369613165,N/A,N/A,0.010376640243629363
BK,56.74,N/A,14.66,N/A,1.17,N/A,1.26,N/A,10.30589136743064,N/A,1.2681208727067625,N/A,N/A,0.010372161762730082
PXD,272.78,N/A,13.51,N/A,2.75,N/A,3.29,N/A,7.3315500532245945,N/A,3.526515688345205,N/A,N/A,0.010307223789690538
XOM,121.37,N/A,13.65,N/A,2.35,N/A,1.42,N/A,6.5559532124368225,N/A,1.4536239633734185,N/A,N/A,0.010222132652604236
BEN,27.05,N/A,14.31,N/A,1.19,N/A,1.81,N/A,8.354009728399676,N/A,1.703291058119745,N/A,N/A,0.010145998477316495
LW,79.78,N/A,10.64,N/A,6.55,N/A,1.76,N/A,8.680510095254295,N/A,8.707664460812195,N/A,N/A,0.01008106050427695
EMN,99.83,N/A,13.33,N/A,2.15,N/A,1.27,N/A,10.068018526051475,N/A,7.781830913148957,N/A,N/A,0.009917595951453266
JNJ,152.39,N/A,11.1,N/A,5.34,N/A,4.31,N/A,12.667633144566876,N/A,6.3753171961744535,N/A,N/A,0.009848179497514443
PEG,66.52,N/A,12.97,N/A,2.14,N/A,2.95,N/A,11.04908458285004,N/A,6.687348673185408,N/A,N/A,0.009671279501992924
CTRA,28.32,N/A,13.3,N/A,1.63,N/A,3.6,N/A,5.9501240481099655,N/A,3.8061074186675685,N/A,N/A,0.009664561780644006
AZO,3104.94,N/A,21.76,N/A,-11.12,N/A,3.02,N/A,14.811933630155986,N/A,6.578859380272081,N/A,N/A,0.009637690895248331
HIG,103.24,N/A,12.95,N/A,2.05,N/A,1.25,N/A,5.8923257454405835,N/A,1.2514015088677783,N/A,N/A,0.009617537731201576
STT,75.8,N/A,13.58,N/A,1.05,N/A,1.25,N/A,8.905573028015564,N/A,1.2493080066593887,N/A,N/A,0.009592906086255543
GEN,22.15,N/A,10.21,N/A,5.83,N/A,3.72,N/A,16.659545320466133,N/A,7.472576192420777,N/A,N/A,0.00946974786152537
USB,43.03,N/A,13.16,N/A,1.38,N/A,1.65,N/A,7.878552471915394,N/A,1.7483241163002947,N/A,N/A,0.009458551659277174
JPM,197.45,N/A,12.17,N/A,1.89,N/A,2.38,N/A,8.227668426017013,N/A,2.4716079714912755,N/A,N/A,0.009021899771597473
ED,89.65,N/A,12.43,N/A,1.46,N/A,2.11,N/A,12.437178881017882,N/A,4.9269797728635005,N/A,N/A,0.009003985848000357
TPR,42.93,N/A,10.87,N/A,3.7,N/A,1.46,N/A,7.335547417578437,N/A,2.0822700983154734,N/A,N/A,0.008959201039007568
FANG,204.32,N/A,11.78,N/A,2.19,N/A,4.33,N/A,6.666262636078431,N/A,5.052000036257727,N/A,N/A,0.008894263065968022
CZR,42.91,N/A,11.79,N/A,2.04,N/A,0.8051,N/A,8.735104336828309,N/A,5.433625150008153,N/A,N/A,0.008833803573827757
HPE,18.0,N/A,12.41,N/A,1.09,N/A,0.8333,N/A,11.406118143459915,N/A,3.1006499713247946,N/A,N/A,0.008824846612029199
PNC,157.37,N/A,12.31,N/A,1.22,N/A,1.96,N/A,9.003748394218324,N/A,2.01037452103404,N/A,N/A,0.00881588965023064
F,13.28,N/A,12.3,N/A,1.22,N/A,0.2956,N/A,2.998607393933098,N/A,1.6885804828594828,N/A,N/A,0.008809171928881723
IPG,31.46,N/A,11.04,N/A,3.02,N/A,1.09,N/A,7.281585515071784,N/A,1.1690738574564021,N/A,N/A,0.008768865600788213
DHI,158.52,N/A,11.4,N/A,2.27,N/A,1.46,N/A,8.722575922641848,N/A,5.698967587459133,N/A,N/A,0.008674817501903354
L,76.66,N/A,12.19,N/A,1.08,N/A,1.08,N/A,6.036719841511414,N/A,1.4539555909751627,N/A,N/A,0.008672578261453713
EBAY,52.06,N/A,10.03,N/A,4.22,N/A,2.67,N/A,13.086177370030581,N/A,3.527281219947795,N/A,N/A,0.008627793452460925
LEN,166.22,N/A,11.64,N/A,1.72,N/A,1.3,N/A,8.0363646627709,N/A,7.191631100498997,N/A,N/A,0.008589726364817054
CB,252.9,N/A,11.6,N/A,1.73,N/A,2.06,N/A,10.341837509266721,N/A,2.0644166641600483,N/A,N/A,0.00856733396032066
BAC,37.11,N/A,11.97,N/A,1.11,N/A,1.7,N/A,9.632606621533602,N/A,1.748000863716138,N/A,N/A,0.008538223834475347
