Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score,composite_score
ACN,333.0,,30.22,,8.23,,3.46,,17.82094021636957,,10.377260919549354,,,0.023986743696538134
NDSN,271.13,,31.67,,5.69,,5.85,,21.087919090193747,,11.777194871156048,,,0.023823279143714453
RMD,188.76,,31.3,,6.19,,6.16,,22.261624133212774,,11.439097691069165,,,0.02379864749876842
AME,182.22,,32.14,,4.83,,6.39,,22.02093398252893,,18.88679514398408,,,0.02375386268977563
WMT,59.85,,31.34,,5.75,,0.7441,,13.361590457712596,,3.287051221580803,,,0.02362846522459582
TJX,96.81,,25.08,,15.02,,2.02,,15.817956105014051,,6.574769533136604,,,0.02357472345380447
ICE,137.87,,32.9,,3.07,,7.97,,19.44005919563538,,10.16465985206503,,,0.023476196874020333
HUBB,417.08,,29.71,,7.78,,4.17,,20.351717342198285,,12.80753696626238,,,0.02344260826727574
DOC,18.63,,33.51,,2.08,,6.06,,13.372164363358278,,6.061168875971285,,,0.02344260826727574
WAB,150.5,,33.15,,2.54,,2.75,,18.648107087468983,,10.210852114470107,,,0.023406780420081506
PAYX,122.38,,26.66,,11.76,,8.45,,18.589767160217185,,11.537996114365187,,,0.023176138653768642
PFG,84.51,,33.14,,1.83,,1.37,,10.31634708415278,,1.366554405511946,,,0.02308209055488378
GPN,125.92,,33.4,,1.4,,3.33,,12.79856758168146,,7.984867247757596,,,0.023064176631286668
NSC,250.03,,31.1,,4.82,,5.06,,14.657559722697057,,6.348474164198749,,,0.023050741188588828
PEP,169.14,,25.78,,12.56,,2.54,,16.224604164993,,5.375811071486186,,,0.022943257647006134
HLT,211.69,,49.0,,-22.62,,5.22,,25.63313695228216,,6.793034974158786,,,0.022786510815531374
IEX,239.38,,30.49,,5.12,,5.53,,21.11650361809045,,13.06920242587601,,,0.022775314613283172
LHX,208.96,,32.45,,2.12,,2.05,,17.3317658568114,,10.226860471347546,,,0.022748443727887504
CCI,100.78,,29.13,,6.86,,6.27,,15.701772738330977,,13.31872024715057,,,0.022640960186304807
FI,157.38,,31.6,,3.1,,4.85,,14.406325588457186,,10.030071557821936,,,0.022616328541358772
BALL,66.47,,29.81,,5.57,,1.5,,13.534125724202626,,10.807024735580525,,,0.022520041202024273
TSCO,252.49,,25.02,,12.68,,1.87,,15.287925872921498,,5.47383363340365,,,0.02248645259527968
VRTX,406.67,,29.28,,5.98,,10.65,,21.01141975984673,,10.95806448448937,,,0.022347619687402034
GEHC,88.47,,29.29,,5.66,,2.06,,15.496518994437173,,5.977955320247412,,,0.022211026019974024
CBRE,96.14,,30.52,,3.56,,0.9199,,15.913236750377454,,5.039783459196685,,,0.022096824757042412
MMC,205.58,,27.3,,8.32,,4.46,,18.60974080683903,,4.906993144660451,,,0.02206547539074746
KEYS,157.23,,28.9,,5.7,,5.14,,18.706604376614543,,7.948415666666666,,,0.021966948810963324
AKAM,106.24,,30.18,,3.5,,4.22,,24.62896440468272,,8.158859534512574,,,0.021841551345783507
ROK,279.24,,26.59,,8.87,,3.51,,18.389911677721624,,9.446586323147647,,,0.021834833624434592
SPG,150.15,,21.51,,16.4,,8.64,,16.37379981740428,,12.860972545944078,,,0.021794527296341085
EXPE,131.79,,24.82,,11.24,,1.34,,8.430382120946538,,1.7076275519261497,,,0.02170719691880514
EXR,146.32,,30.87,,2.15,,12.09,,23.29674547450968,,16.358589431710413,,,0.021700479197456223
PH,566.67,,27.98,,6.44,,3.67,,18.530456775442435,,11.983665014976276,,,0.02168032603340947
NDAQ,62.04,,29.83,,3.3,,5.88,,21.530073328463715,,11.729606059820282,,,0.021516861480585785
PG,156.1,,26.64,,7.7,,4.38,,17.2636828793694,,9.300196033427172,,,0.021344439965963545
WY,34.59,,30.08,,2.47,,3.29,,17.589884829812917,,17.32844183293698,,,0.021313090599668592
ROST,139.53,,25.1,,9.64,,2.31,,16.342677831171997,,7.993778854742491,,,0.021178736172690227
MKC,75.47,,28.81,,3.87,,3.03,,18.94203699251601,,9.669846841545551,,,0.021086927314255002
JBHT,195.33,,28.02,,4.92,,1.57,,12.535027341362678,,1.7966311266741777,,,0.021026467822114737
NKE,88.84,,26.13,,7.57,,2.09,,15.674244978704523,,4.638885002888656,,,0.020943615925478075
AMAT,207.85,,24.45,,9.91,,6.52,,20.9997561072877,,13.732621991882986,,,0.02086300326929106
SCHW,71.89,,28.3,,4.01,,5.0,,16.523476019958526,,4.995695347752831,,,0.02080702225805007
ABNB,161.77,,22.34,,12.82,,10.56,,61.86405675608194,,11.76426304516679,,,0.02074880200635944
BRO,85.15,,27.92,,4.36,,5.71,,19.274292858651275,,6.431857469873858,,,0.020708495678265937
KO,59.51,,24.09,,9.89,,5.61,,17.720288257073566,,10.46338971366674,,,0.020612208338931435
GOOG,153.94,,26.36,,6.39,,5.89,,17.896534847011843,,9.832753744716046,,,0.020569662770388283
DPZ,493.2,,33.32,,-4.22,,3.83,,24.495952005313736,,12.766981891459908,,,0.020493528595100546
EQR,61.79,,29.01,,2.12,,8.16,,17.520647986206246,,10.737944660406324,,,0.02043754758385956
QCOM,171.53,,24.86,,8.3,,5.27,,17.940657398029646,,9.667748945671049,,,0.020417394419812798
GOOGL,152.5,,26.11,,6.39,,5.89,,17.896534847011843,,9.832753744716046,,,0.02040171973666532
BF.B,50.98,,25.36,,7.5,,4.48,,20.340729839700373,,7.2162833739038,,,0.020395002015316403
TFX,216.77,,28.79,,2.3,,3.43,,14.664397282162344,,7.1662756539284285,,,0.02037037037037037
CHRW,71.18,,26.17,,5.87,,0.4733,,15.91053452619982,,3.7481942392098926,,,0.020209145057996328
REG,58.8,,28.82,,1.6,,8.22,,17.12569078879438,,11.287499538740503,,,0.0200770298714676
CRL,253.1,,27.45,,3.62,,3.16,,20.41571026008976,,10.254364528842853,,,0.02006135518832012
UNP,242.01,,23.16,,9.98,,6.12,,15.7155632077193,,7.428061717649985,,,0.02002776658157553
REGN,942.7,,27.11,,3.92,,7.76,,20.12352983061413,,7.682880987845811,,,0.01996730708943526
TXN,167.5,,23.69,,9.02,,8.7,,18.09806723363286,,14.074084592522007,,,0.01995387164673743
SYY,76.67,,18.7,,15.88,,0.4924,,12.012533208383111,,3.454217335761043,,,0.019673966590532492
UDR,36.51,,27.25,,3.05,,7.39,,18.11884745150913,,10.949054143131097,,,0.01967172735008285
WTW,270.94,,27.23,,2.91,,2.92,,13.55667869535284,,3.322336949066751,,,0.01959559317479511
AVB,181.08,,27.65,,2.19,,9.3,,19.81153279806486,,12.049014552140262,,,0.0195552868467016
PPG,139.04,,25.99,,4.18,,1.79,,12.92652545707334,,4.957954104786029,,,0.01933136280173765
HON,197.15,,23.28,,8.1,,3.5,,16.833619341028708,,10.296996977463964,,,0.019266424828698104
JBL,140.47,,23.93,,7.07,,0.5356,,11.570855067348166,,6.637575707830286,,,0.019241793183752073
MAA,127.1,,26.99,,2.43,,6.9,,15.395965239868795,,8.99872278944811,,,0.019219400779255675
CBOE,180.93,,25.38,,4.79,,5.06,,16.29090347666149,,10.390334839937434,,,0.019194769134309644
IBM,189.14,,23.24,,7.69,,2.8,,15.270512451081434,,6.134026838221574,,,0.019055936226431994
MDT,84.56,,26.84,,2.17,,3.47,,16.478457815235423,,6.10050894695073,,,0.019002194455640647
PPL,27.22,,27.22,,1.44,,2.42,,12.25747738072122,,6.160781590449634,,,0.01893053876125218
EXPD,117.35,,23.42,,6.97,,1.79,,15.021478118831826,,4.663131671446747,,,0.018854404585964442
DUK,95.91,,27.02,,1.57,,2.55,,12.29268722616088,,7.908648522934833,,,0.018854404585964442
FFIV,192.42,,25.09,,3.96,,4.03,,14.45873144834925,,4.702400845385615,,,0.018628241300550852
CPAY,306.2,,23.2,,6.74,,5.88,,13.764543214186649,,7.30254098297398,,,0.01860360965560482
CPT,96.62,,26.26,,2.11,,6.82,,15.548974616888616,,9.061293680979643,,,0.018585695732007704
RCL,136.02,,22.67,,7.39,,2.51,,12.324829384513569,,6.12525508167964,,,0.018538671682565275
AOS,87.54,,23.72,,5.76,,2.76,,12.424530120856767,,6.99298209994612,,,0.01851404003761924
ZBH,127.33,,26.09,,2.1,,3.54,,15.65655134936407,,5.934299969117204,,,0.01846701598817681
ALLE,132.31,,21.62,,8.79,,3.17,,15.86854510694864,,8.303016804299716,,,0.018460298266827893
KMX,81.49,,25.95,,2.13,,0.4832,,14.116401284189044,,5.179069955153348,,,0.01838640333198979
NXPI,241.01,,22.52,,7.15,,4.66,,17.415531935752078,,9.151627995895671,,,0.0183304223207488
LMT,455.38,,16.53,,16.02,,1.62,,12.552126452854717,,14.646344260296347,,,0.018278919790407095
GD,295.18,,24.56,,3.8,,1.92,,17.293655325567737,,13.239806864958034,,,0.01820054637466971
BIIB,203.87,,25.58,,2.0,,3.01,,17.146790504416664,,4.864699116430665,,,0.018079627390389177
DOV,175.84,,23.38,,4.73,,2.86,,16.164419700963176,,8.823658075044909,,,0.017824353979130278
HSY,193.74,,21.38,,7.07,,2.6,,11.202237927787616,,6.6819685114458,,,0.017528774239777868
AWK,118.52,,24.24,,2.36,,5.45,,15.911358576086956,,8.297656999527634,,,0.01734067804200815
CME,211.08,,23.82,,2.84,,13.62,,18.700632234407127,,13.6937071472871,,,0.017273500828518966
HRL,34.7,,23.93,,2.42,,1.57,,15.898717414648942,,10.600321967579651,,,0.017159299565587354
DVA,133.61,,18.01,,11.1,,0.9652,,8.936004565536935,,1.7476596453074251,,,0.017069729947601774
CAT,379.3,,18.85,,9.72,,2.82,,12.658499967046728,,7.906286584612851,,,0.017015988176810427
TMUS,161.11,,23.25,,2.95,,2.43,,9.881083373664952,,5.527645958403969,,,0.016939854001522685
PNR,83.57,,22.34,,4.31,,3.38,,18.374666540983608,,10.32909770010532,,,0.01693761476107304
APD,238.68,,22.75,,3.57,,4.27,,13.205496653726708,,16.58377644487193,,,0.016881633749832058
K,57.45,,20.82,,6.18,,1.5,,13.074127898445596,,5.8914468466028485,,,0.016753997044202606
MCHP,87.57,,20.46,,6.68,,5.54,,13.9008983077653,,9.211581981100768,,,0.01673608312060549
PKG,187.67,,22.03,,4.21,,2.16,,11.362275551751544,,10.939592748248868,,,0.016684580590263783
KVUE,20.25,,22.52,,3.46,,2.51,,14.59708612432087,,5.28454037753095,,,0.016677862868914865
GRMN,147.53,,21.99,,4.03,,5.41,,20.73260525055681,,8.76048138158475,,,0.016577097048681086
HSIC,72.52,,22.95,,2.55,,0.7553,,12.512769033732315,,2.9783047764827764,,,0.01655918312508397
DG,159.55,,21.13,,5.19,,0.9058,,12.597962930940035,,3.5422283859133663,,,0.01651887679699046
AMP,434.81,,18.34,,9.21,,2.71,,12.524139933333334,,2.707753912027833,,,0.016444981862152357
FSLR,174.6,,22.56,,2.79,,5.63,,14.361079153778958,,13.182848799742288,,,0.016404675534058846
EIX,70.82,,22.77,,1.97,,1.67,,10.28466257554806,,3.732895646529563,,,0.01617851224864526
DRI,156.35,,18.33,,8.56,,1.67,,11.44279646839509,,8.46747511162988,,,0.016147162882350304
TDY,416.86,,22.55,,2.14,,3.5,,18.15285311672488,,9.16125992949086,,,0.016106856554256796
URI,706.87,,20.04,,5.84,,3.31,,8.83599767389994,,7.1831043199804,,,0.016077746428411484
BLK,797.56,,21.84,,3.02,,6.64,,15.420531983026503,,6.6132400726804415,,,0.016024004657620137
ODFL,224.57,,19.94,,5.74,,4.17,,12.257716052756388,,4.106224297802035,,,0.01596578440592951
AXP,222.46,,19.84,,5.74,,2.39,,13.075030270867163,,2.578947691676943,,,0.015898607192440326
UPS,151.36,,19.41,,6.37,,1.21,,10.104010952346686,,1.3893320541458696,,,0.015891889471091408
MOH,376.77,,20.06,,5.24,,0.6478,,13.064967457264958,,4.52667389968536,,,0.01582247301715258
CSX,36.3,,19.62,,5.86,,4.85,,12.3504675295601,,6.014712234836597,,,0.015804559093555468
OTIS,97.77,,28.84,,-8.05,,2.79,,19.19647955216285,,10.795444498926782,,,0.01576873124636123
ULTA,444.75,,17.09,,9.42,,1.92,,10.771249181916144,,4.725053044669147,,,0.01569931479242241
TGT,171.77,,19.21,,5.9,,0.7383,,11.27031847882295,,3.084564182672867,,,0.015547046441846927
AMCR,9.21,,20.87,,3.36,,0.9485,,10.646003726254,,7.497411117249155,,,0.015524654037350531
JCI,65.19,,21.23,,2.66,,1.66,,13.684701447043702,,6.000167789562669,,,0.015452998342962068
TXT,96.65,,21.2,,2.66,,1.36,,14.587307316557258,,8.779279337576822,,,0.015432845178915312
GE,156.3,,18.7,,6.24,,2.51,,28.08960742582328,,9.811049535929849,,,0.01535671100362757
RHI,75.3,,19.41,,4.98,,1.24,,15.369211789771816,,2.790167138769493,,,0.01526938062609163
INCY,55.24,,20.85,,2.39,,3.36,,11.9539743788397,,2.551656909621093,,,0.015076805947422636
CI,362.45,,20.84,,2.29,,0.5427,,13.2200944204732,,0.8610881865666947,,,0.015025303417080926
UNH,455.74,,19.1,,4.73,,1.13,,13.286519428461329,,1.4501918295098122,,,0.014949169241793186
ELV,507.35,,20.12,,3.0,,0.6936,,14.868156282450675,,0.9363333137147192,,,0.014859599623807607
CNP,28.05,,20.47,,1.84,,2.04,,11.49906167921544,,5.561281206854345,,,0.01457521608670339
KR,57.31,,19.23,,3.56,,0.2757,,8.31103204307989,,1.54966222095672,,,0.014512517354113486
SLB,55.03,,18.91,,3.89,,2.37,,10.807586586310268,,13.183839434709736,,,0.014445340140624301
RL,171.95,,19.63,,2.61,,1.02,,6.238226270064206,,1.4332090132989144,,,0.014355770522638723
FE,38.01,,19.8,,2.1,,1.7,,12.811969541609448,,5.672225328428988,,,0.014241569259707109
CMS,58.65,,19.49,,2.39,,2.35,,13.596177347646574,,7.238940764123983,,,0.014163195843969724
YUM,136.1,,24.3,,-4.87,,5.41,,19.940092714983717,,9.236678179554884,,,0.014143042679922968
AEP,83.95,,19.8,,1.75,,2.33,,12.5862588020455,,6.984541586423735,,,0.014084822428232344
MDLZ,67.99,,18.78,,3.27,,2.57,,18.595962651806826,,8.000965622202848,,,0.014080343947333067
KDP,30.77,,19.85,,1.66,,2.88,,14.39605911548288,,6.973536556683168,,,0.014078104706883424
HST,20.28,,19.5,,2.15,,2.69,,12.004160664819944,,4.978175761056864,,,0.014062430023735948
NVR,7907.89,,17.07,,5.79,,2.61,,11.701094588989555,,8.768654763212082,,,0.01406019078328631
SO,69.91,,19.31,,2.43,,3.03,,13.213563088328378,,7.739892271333071,,,0.01406019078328631
D,48.57,,19.58,,1.58,,2.83,,13.506679442779726,,8.375262583909864,,,0.013860898383268394
BLDR,204.14,,17.1,,5.26,,1.46,,10.242013798757696,,4.658382166060635,,,0.01384298445967128
SWKS,105.48,,18.7,,2.71,,3.64,,15.718095888609012,,8.525567747697602,,,0.013775807246182095
WEC,80.28,,19.02,,2.16,,2.85,,12.49166359150938,,7.73055599091515,,,0.013744457879887142
ETSY,64.98,,29.67,,-14.16,,2.8,,20.349714439220957,,4.656302809498557,,,0.013589950288862021
NEE,64.18,,17.83,,2.78,,4.69,,13.42666820049127,,8.926420227920731,,,0.013222714855121142
OXY,69.25,,17.76,,2.8,,2.17,,5.350049137343089,,3.170107871564377,,,0.013184647767477273
ATO,116.23,,18.48,,1.56,,4.44,,14.024212011893791,,8.558630337291191,,,0.013112992073088808
RVTY,102.28,,18.43,,1.6,,4.59,,20.387887023763845,,9.697193587544511,,,0.013097317389941332
FOXA,31.02,,18.57,,1.38,,0.9703,,6.657601814868278,,1.267308829360445,,,0.013092838909042052
TRV,230.89,,18.05,,2.12,,1.28,,12.925205502321036,,1.2789591461415724,,,0.013074924985444936
BKR,34.31,,17.96,,2.23,,1.35,,10.119195342098202,,7.182296903446963,,,0.01306372878319674
NI,27.19,,18.37,,1.57,,2.21,,10.907608205837034,,6.059446707535057,,,0.013043575619149985
WRB,87.26,,17.28,,3.0,,1.84,,12.913697422387228,,1.8435766415837749,,,0.012951766760714765
GPC,149.99,,16.08,,4.75,,0.9057,,11.306494605693604,,2.860600391379613,,,0.01292937435621837
CPB,43.3,,16.98,,3.35,,1.39,,13.52573873275862,,5.976053539819945,,,0.012906981951721977
PYPL,65.15,,16.97,,3.32,,2.35,,10.877656655585106,,2.198111667058547,,,0.01288682878767522
KIM,18.51,,18.15,,1.31,,7.0,,15.211254361543729,,10.643255141863856,,,0.012779345246092526
MS,92.47,,17.85,,1.67,,1.57,,9.41024702371025,,1.5807035126173403,,,0.012739038917999015
DGX,130.63,,17.37,,2.3,,1.57,,12.987650501739736,,6.113086724860793,,,0.012698732589905505
GIS,69.79,,16.01,,4.2,,1.96,,12.045683947386866,,7.395172260470453,,,0.012636033857315598
LNT,48.85,,17.57,,1.85,,3.11,,13.069940067261903,,9.114777630967206,,,0.01263155537641632
CTSH,71.13,,16.9,,2.68,,1.83,,9.70165911730546,,4.995143369711466,,,0.012553181960678938
GS,408.07,,17.84,,1.25,,1.22,,8.491810105418404,,1.2331667622124964,,,0.012544224998880379
HII,286.08,,16.76,,2.77,,0.9893,,13.240279731150794,,8.108263650668286,,,0.012499440189887592
KMI,18.46,,17.42,,1.35,,2.67,,9.95128571483097,,7.022184686802617,,,0.012306865511218595
NTRS,86.78,,17.08,,1.61,,1.46,,8.433253862532153,,1.464172441200794,,,0.012194903488736619
PRU,115.71,,17.12,,1.49,,0.7696,,12.868615241635688,,0.7695564941921859,,,0.012168032603340947
UHS,173.43,,16.95,,1.69,,0.7296,,8.726034898607452,,1.0652000265929589,,,0.012143400958394912
GILD,69.58,,15.46,,3.79,,3.19,,9.072022333130487,,5.061377092734504,,,0.012082941466254648
FOX,28.45,,17.04,,1.38,,0.9703,,6.657601814868278,,1.267308829360445,,,0.012065027542657529
LYB,104.78,,16.17,,2.63,,0.8272,,8.229210345919372,,7.9584508575504,,,0.012040395897711498
KEY,15.06,,17.05,,1.15,,1.34,,10.794228523183923,,1.40974280470327,,,0.011968740203323032
XEL,53.53,,16.68,,1.69,,2.09,,11.01133669256557,,6.629287470972337,,,0.011962022481974114
AEE,72.71,,16.64,,1.71,,2.58,,12.17622476910017,,6.723979363397713,,,0.011944108558376998
BBY,79.61,,14.02,,5.62,,0.3946,,6.361566524330441,,1.756171285639904,,,0.011935151596578441
RJF,128.29,,16.1,,2.5,,1.99,,11.058207257731958,,2.0079485286409584,,,0.011935151596578441
WMB,39.23,,15.09,,3.87,,4.38,,10.582326984145626,,7.989228794857586,,,0.011870213623538895
SNA,292.76,,15.61,,3.05,,3.03,,11.114182212527489,,5.980937038097419,,,0.01185229969994178
CSCO,48.55,,14.76,,4.25,,3.43,,11.21900748257422,,4.966045402786091,,,0.011818711093197189
DTE,109.1,,16.12,,2.04,,1.77,,11.218852489141677,,6.689459137968244,,,0.011742576917909444
PNW,72.76,,16.5,,1.34,,1.76,,10.676949326087938,,5.952672467583819,,,0.011684356666218818
FDX,273.52,,15.67,,2.55,,0.7691,,7.902394935315698,,0.9353132840459812,,,0.011668681983071342
EVRG,52.2,,16.47,,1.24,,2.18,,10.612406805984026,,6.257073360492351,,,0.011619418693179272
HUM,313.11,,15.66,,2.32,,0.3551,,10.527967743709029,,0.4680350410814672,,,0.011558959201039005
MGM,46.53,,14.59,,3.87,,0.9126,,7.783730540547948,,2.3882052421811597,,,0.011534327556092974
PCG,16.81,,16.01,,1.43,,1.47,,11.941020300775191,,4.568409724086798,,,0.011395494648215326
EXC,37.34,,15.96,,1.45,,1.72,,10.757516845059184,,5.997758353700133,,,0.011370863003269291
COP,133.52,,14.74,,3.19,,2.8,,6.8493529007803335,,4.958293194842827,,,0.01133055667517578
TROW,116.64,,15.03,,2.74,,4.04,,9.3266909542708,,4.037740411732838,,,0.011323838953826862
CAG,31.09,,15.7,,1.62,,1.23,,11.475554348740523,,7.084081906458528,,,0.011272336423485152
OMC,92.62,,13.4,,5.05,,1.24,,8.00556868759502,,1.3260881634472714,,,0.011263379461686597
ON,69.32,,14.18,,3.83,,3.61,,11.511127180170377,,7.898468030642461,,,0.0112409870571902
HAL,41.24,,14.12,,3.89,,1.59,,8.169780671083398,,9.616356514678898,,,0.011227551614492366
KHC,37.06,,16.04,,0.9097,,1.69,,10.279829872316384,,7.134611926842931,,,0.011182632451072594
PCAR,122.21,,13.95,,4.03,,1.82,,8.060791374466909,,6.752100730318585,,,0.011176049084150656
VZ,42.12,,15.26,,1.92,,1.32,,7.036076720149495,,4.1181604473428,,,0.011111111111111112
OKE,79.65,,14.53,,2.82,,2.63,,13.039011658527206,,11.79817321433542,,,0.011023780733575171
AIG,77.71,,15.6,,1.18,,1.13,,6.595651040383896,,1.1306548501559763,,,0.011008106050427695
AIZ,179.85,,15.05,,1.94,,0.8398,,9.318358727073363,,0.8397874047755938,,,0.010978995924582383
LKQ,51.47,,14.75,,2.23,,0.9903,,10.28078659767442,,3.1718301252017937,,,0.01090734023019392
